"AGE","STAGE","YEARS","CD_CIF"
"(69,74]","Distant",2,5.94131308039923
"(69,74]","Distant",3,5.94131308039923
"(69,74]","Distant",4,5.94131308039923
"(69,74]","Distant",5,5.94131308039923
"(69,74]","Distant",6,5.94131308039923
"(69,74]","Distant",7,5.94131308039923
"(69,74]","Distant",8,5.94131308039923
"(69,74]","Distant",9,5.94131308039923
"(69,74]","Distant",10,5.94131308039923
"(74,79]","Localized",0,5.84618887704126
"(74,79]","Localized",1,5.84618887704126
"(74,79]","Localized",2,5.84618887704126
"(74,79]","Localized",3,5.84618887704126
"(74,79]","Localized",4,5.84618887704126
"(74,79]","Localized",5,5.84618887704126
"(74,79]","Localized",6,5.84618887704126
"(74,79]","Localized",7,5.84618887704126
"(74,79]","Localized",8,5.84618887704126
"(74,79]","Localized",9,5.84618887704126
"(74,79]","Localized",10,5.84618887704126
"(74,79]","Regional",0,5.88672800510541
"(74,79]","Regional",1,5.88672800510541
"(74,79]","Regional",2,5.88672800510541
"(74,79]","Regional",3,5.88672800510541
"(74,79]","Regional",4,5.88672800510541
"(74,79]","Regional",5,5.88672800510541
"(74,79]","Regional",6,5.88672800510541
"(74,79]","Regional",7,5.88672800510541
"(74,79]","Regional",8,5.88672800510541
"(74,79]","Regional",9,5.88672800510541
"(74,79]","Regional",10,5.88672800510541
"(74,79]","Distant",0,5.94708464377491
"(74,79]","Distant",1,5.94708464377491
"(74,79]","Distant",2,5.94708464377491
"(74,79]","Distant",3,5.94708464377491
"(74,79]","Distant",4,5.94708464377491
"(74,79]","Distant",5,5.94708464377491
"(74,79]","Distant",6,5.94708464377491
"(74,79]","Distant",7,5.94708464377491
"(74,79]","Distant",8,5.94708464377491
"(74,79]","Distant",9,5.94708464377491
"(74,79]","Distant",10,5.94708464377491
"(79,84]","Localized",0,5.85840419417413
"(79,84]","Localized",1,5.85840419417413
"(79,84]","Localized",2,5.85840419417413
"(79,84]","Localized",3,5.85840419417413
"(79,84]","Localized",4,5.85840419417413
"(79,84]","Localized",5,5.85840419417413
"(79,84]","Localized",6,5.85840419417413
"(79,84]","Localized",7,5.85840419417413
"(79,84]","Localized",8,5.85840419417413
"(79,84]","Localized",9,5.85840419417413
"(79,84]","Localized",10,5.85840419417413
