Age,Smoothed LRDU Rate
57,4.09245680688806
58,168.11183715808528
59,327.312024463996
60,453.22721783043824
61,509.84512910416606
62,486.6164165659054
63,399.2799195698233
64,280.86307105101025
65,166.51895033414914
66,84.7568978957549
67,47.402228129019186
68,40.286518484748974
69,46.7772963497099
70,56.43142050940148
71,64.78691800696681
72,71.07549700024309
73,75.78065382295954
74,79.40429367806685
75,82.39320734207664
76,85.1172943145502
77,87.64436985498291
78,89.94840261892294
79,91.6068422366753
80,92.6718084408771
81,93.64821667798684
82,94.27964648887934
83,94.38923301145064
84,94.51470612324283
