"Year Dx (2000-2021 group only) for DevCan","Age recode with <1 year olds DevCan","Combined Summary Stage (2004+)","Crude Rate","Count","Population"
2000-2021,60-64 years,Distant,11.2158545,10235,91254750
2000-2021,60-64 years,N/A,0.0000000,0,91254750
2000-2021,60-64 years,Unknown/unstaged,0.5007958,457,91254750
2000-2021,60-64 years,Blank(s),2.3330292,2129,91254750
2000-2021,65-69 years,In situ,0.0000000,0,72471380
2000-2021,65-69 years,Localized,1.9718129,1429,72471380
2000-2021,65-69 years,Regional,8.1728815,5923,72471380
2000-2021,65-69 years,Distant,16.0987689,11667,72471380
2000-2021,65-69 years,N/A,0.0000000,0,72471380
2000-2021,65-69 years,Unknown/unstaged,0.7671994,556,72471380
2000-2021,65-69 years,Blank(s),3.7159497,2693,72471380
2000-2021,70-74 years,In situ,0.0000000,0,56139713
2000-2021,70-74 years,Localized,3.0922851,1736,56139713
2000-2021,70-74 years,Regional,10.8693110,6102,56139713
2000-2021,70-74 years,Distant,20.5077643,11513,56139713
2000-2021,70-74 years,N/A,0.0000000,0,56139713
2000-2021,70-74 years,Unknown/unstaged,1.1275441,633,56139713
2000-2021,70-74 years,Blank(s),5.5415317,3111,56139713
2000-2021,75-79 years,In situ,0.0000000,0,42274262
2000-2021,75-79 years,Localized,4.5606946,1928,42274262
2000-2021,75-79 years,Regional,13.4053198,5667,42274262
2000-2021,75-79 years,Distant,24.0169775,10153,42274262
2000-2021,75-79 years,N/A,0.0000000,0,42274262
2000-2021,75-79 years,Unknown/unstaged,1.6203713,685,42274262
2000-2021,75-79 years,Blank(s),7.2857570,3080,42274262
2000-2021,80-84 years,In situ,0.0000000,0,30563331
2000-2021,80-84 years,Localized,5.9515764,1819,30563331
2000-2021,80-84 years,Regional,13.9644465,4268,30563331
2000-2021,80-84 years,Distant,24.2316520,7406,30563331
2000-2021,80-84 years,N/A,0.0000000,0,30563331
2000-2021,80-84 years,Unknown/unstaged,2.5324465,774,30563331
2000-2021,80-84 years,Blank(s),6.9724076,2131,30563331
2000-2021,85+ years,In situ,0.0000000,0,29772218
2000-2021,85+ years,Localized,6.8856140,2050,29772218
2000-2021,85+ years,Regional,9.9723843,2969,29772218
2000-2021,85+ years,Distant,16.8714336,5023,29772218
2000-2021,85+ years,N/A,0.0000000,0,29772218
2000-2021,85+ years,Unknown/unstaged,3.1808178,947,29772218
2000-2021,85+ years,Blank(s),4.1481626,1235,29772218
