,Unnamed: 0,Distant Rate,Localized Rate,Regional Rate,Unknown/unstaged Rate,Age,LRD Rate,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU
0,20.0,0.015638,0.066462,0.00391,0.011729,20,0.0860099999999999,0.0977389999999999,0.7727241018486223,0.0454598302522962,0.1818160678990815,0.0755252809905824,0.0044431983490291,0.0177705206603883
1,21.0,0.003894,0.054513,0.007788,0.003894,21,0.0661949999999999,0.0700889999999999,0.823521414004079,0.1176523906639474,0.0588261953319737,0.0577197923861318,0.0082461384092454,0.0041230692046227
2,22.0,0.015596,0.046787,0.0,0.003899,22,0.062383,0.066282,0.7499959924979562,0.0,0.2500040075020438,0.0497112343747495,0.0,0.0165707656252504
3,23.0,0.003888,0.054429,0.019439,0.003888,23,0.077756,0.081644,0.6999974278512269,0.25,0.050002572148773,0.0571505899994855,0.020411,0.0040824100005144
4,24.0,0.015566,0.035022,0.011674,0.0,24,0.062262,0.062262,0.5624939770646622,0.1874979923548874,0.2500080305804503,0.035022,0.011674,0.015566
5,25.0,0.019438,0.046651,0.003888,0.0,25,0.069977,0.069977,0.6666619031967647,0.0555611129371079,0.2777769838661275,0.046651,0.003888,0.019438
6,26.0,0.031312,0.050881,0.023484,0.003914,26,0.105677,0.109591,0.481476574845993,0.222224325066003,0.296299100088004,0.0527654993139472,0.0243537860083083,0.0324717146777444
7,27.0,0.01175,0.043084,0.007833,0.0,27,0.062667,0.062667,0.6875069813458439,0.1249940159892766,0.1874990026648794,0.043084,0.007833,0.01175
8,28.0,0.031462,0.04326,0.031462,0.0,28,0.106184,0.106184,0.4074060122052286,0.2962969938973856,0.2962969938973856,0.04326,0.031462,0.031462
9,29.0,0.043481,0.055339,0.043481,0.007906,29,0.1423009999999999,0.1502069999999999,0.3888869368451381,0.3055565315774309,0.3055565315774309,0.0584135401226976,0.0458967299386511,0.0458967299386511
10,30.0,0.086206,0.043103,0.031348,0.0,30,0.160657,0.160657,0.2682920756643034,0.1951237730070896,0.5365841513286069,0.043103,0.031348,0.086206
11,31.0,0.059258,0.07901,0.027654,0.003951,31,0.165922,0.169873,0.4761876062246116,0.1666686756427719,0.3571437181326165,0.0808914172321934,0.0283125079374645,0.0606690748303419
12,32.0,0.102512,0.039428,0.078856,0.003943,32,0.220796,0.224739,0.1785720755810793,0.3571441511621587,0.4642837732567619,0.0401321096940161,0.0802642193880323,0.1043426709179514
13,33.0,0.106799,0.090977,0.055377,0.007911,33,0.253153,0.261064,0.3593755554941082,0.2187491358980537,0.4218753086078379,0.0938200200195139,0.0571075244140895,0.1101364555663966
14,34.0,0.134689,0.035653,0.071306,0.007923,34,0.241648,0.249571,0.1475410514467324,0.2950821028934648,0.5573768456598027,0.0368219677506124,0.0736439355012249,0.1391050967481626
15,35.0,0.229268,0.047435,0.059293,0.0,35,0.3359959999999999,0.3359959999999999,0.1411772759199514,0.1764693627305087,0.6823533613495399,0.047435,0.059293,0.229268
16,36.0,0.256311,0.051262,0.090695,0.01183,36,0.398268,0.410098,0.1287123243644982,0.2277235429409342,0.6435641326945675,0.052784666797232,0.0933889695129912,0.2639243636897767
17,37.0,0.224564,0.070915,0.074855,0.015759,37,0.370334,0.3860930000000001,0.1914893042496773,0.2021283490038721,0.6063823467464504,0.0739326799456706,0.078040340651952,0.2341199794023773
18,38.0,0.342656,0.051201,0.177236,0.019693,38,0.5710930000000001,0.590786,0.0896543995461334,0.3103452502482082,0.6000003502056582,0.052966564090262,0.1833476290131379,0.3544718068966
19,39.0,0.440769,0.062967,0.177095,0.011806,39,0.680831,0.692637,0.092485506682275,0.2601159465417996,0.6473985467759253,0.0640588838918909,0.1801659288648724,0.4484121872432366
20,40.0,0.568323,0.086827,0.284161,0.03552,40,0.939311,0.974831,0.0924369032194874,0.3025206773901295,0.605042419390383,0.0901103588023562,0.2949065344608974,0.5898141067367464
21,41.0,0.617387,0.11404,0.31066,0.023594,41,1.042087,1.065681,0.1094342410950333,0.2981133053190377,0.592452453585929,0.1166219914843962,0.3176936853256973,0.6313653231899065
22,42.0,0.743523,0.094416,0.369794,0.027538,42,1.2077330000000002,1.2352710000000002,0.0781762194127344,0.3061885367047186,0.6156352438825469,0.0965688167301878,0.3782258199237746,0.7604763633460376
23,43.0,0.822827,0.137794,0.322832,0.027559,43,1.283453,1.3110119999999998,0.1073619368999098,0.2515339478734321,0.6411041152266581,0.1407527876190246,0.3297640240694439,0.8404951883115315
24,44.0,1.122343,0.130413,0.466325,0.035567,44,1.719081,1.754648,0.0758620448949176,0.2712641230983298,0.6528738320067524,0.1331111853507775,0.4759730510662383,1.1455637635829845
25,45.0,1.317088,0.13885,0.59507,0.079343,45,2.051008,2.130351,0.0676984195088463,0.2901353870877149,0.6421661934034387,0.1442213956990904,0.6180902120177005,1.368039392283209
26,46.0,1.497499,0.17035,0.740826,0.071309,46,2.408675,2.4799839999999995,0.0707235305717874,0.307565777865424,0.6217106915627887,0.1753932242415435,0.7627582080538055,1.5418325677046507
27,47.0,1.797825,0.21431,0.742149,0.095249,47,2.754284,2.849533,0.0778096957321757,0.2694526054684266,0.6527376987993976,0.221721295708794,0.7678140912182622,1.859997613072944
28,48.0,1.9236,0.246922,0.971756,0.055757,48,3.142278,3.198035,0.0785805711652501,0.309252077632851,0.6121673512018987,0.2513034169064608,0.9889989680925748,1.957732615000964
29,49.0,2.463724,0.21129,1.11625,0.063786,49,3.791264,3.85505,0.0557307536483874,0.2944268718823062,0.6498423744693063,0.214844841852216,1.1350303124498848,2.505174845697899
30,50.0,2.882367,0.275669,1.30943,0.154051,50,4.467466,4.621517,0.0617058977057687,0.2931035177436157,0.6451905845506155,0.2851748552474714,1.354582890011922,2.9817592547406067
31,51.0,3.27488,0.273247,1.639479,0.106036,51,5.187606,5.293641999999999,0.0526730441749045,0.3160376867479912,0.6312892690771041,0.2788322389121302,1.67299037215201,3.34181938893586
32,52.0,3.976542,0.38937,1.752164,0.11184,52,6.118076,6.229916,0.0636425569084136,0.2863913426377835,0.6499661004538028,0.396487783564637,1.7841940077606098,4.049234208674753
33,53.0,4.197301,0.33345,2.129912,0.187566,53,6.660663,6.848229000000001,0.050062583859895,0.31977477317198,0.630162642968125,0.3428400386042651,2.1898908751047754,4.31549808629096
34,54.0,4.664954,0.531074,2.115799,0.165695,54,7.311827,7.477522,0.0726321889180365,0.2893666658141665,0.6380011452677969,0.5431087905427741,2.163745609692078,4.770667599765147
35,55.0,5.749315,0.527021,2.783191,0.156799,55,9.059527,9.216326,0.0581731253739847,0.3072115133604657,0.6346153612655496,0.5361424878855154,2.8313614580834074,5.848822054031077
36,56.0,6.191628,0.635153,2.913707,0.248731,56,9.740488,9.989219,0.0652075132169969,0.2991335752377088,0.6356589115452943,0.6513721299699768,2.9881107933024507,6.349736076727572
37,,,,,,57,,5.487884021005063,0.0689655333711285,0.310770517476551,0.6202639491523203,0.3784748485875075,1.7054725570590388,3.4039366153585155
38,,,,,,58,,92.27057123937256,0.0641609697809749,0.3044798737077115,0.6313591565113135,5.920169332962674,28.094531877902554,58.25587002850732
39,,,,,,59,,299.6245782543107,0.0768417019792825,0.3080719366101846,0.6150863614105329,23.023662547885948,92.3059240788153,184.29499162760942
40,,,,,,60,,534.1674469609941,0.0678868836378844,0.2928452622621465,0.6392678540999691,36.26296331498679,156.42840609719354,341.47607754881375
41,,,,,,61,,570.2529088672401,0.063396009366436,0.3157056116769224,0.6208983789566415,36.151758751784925,180.03204340447633,354.06910671097876
42,,,,,,62,,532.0796034112219,0.0638361117534071,0.3081947933526937,0.6279690948938993,33.965893025067295,163.98416342050473,334.1295469656499
