,Age,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU,LRDU Rate Smoothed
20,20,0.09773899999999999,0.7727241018486223,0.04545983025229625,0.1818160678990815,0.07552528099058249,0.004443198349029183,0.017770520660388325,0.0884049506736906
21,21,0.07008899999999998,0.823521414004079,0.11765239066394745,0.058826195331973724,0.057719792386131875,0.00824613840924541,0.004123069204622705,0.07874857572183401
22,22,0.06628200000000001,0.7499959924979562,0.0,0.2500040075020438,0.049711234374749544,0.0,0.01657076562525047,0.07247396650112187
23,23,0.08164400000000001,0.6999974278512269,0.25,0.05000257214877308,0.05715058999948557,0.020411000000000002,0.0040824100005144295,0.07004644092923737
24,24,0.062262,0.5624939770646622,0.18749799235488743,0.25000803058045035,0.035022,0.011674,0.015565999999999998,0.07037203959132374
25,25,0.069977,0.6666619031967647,0.05556111293710791,0.2777769838661275,0.046651,0.003888,0.019438,0.07464881951471034
26,26,0.109591,0.48147657484599304,0.22222432506600304,0.29629910008800403,0.05276549931394722,0.02435378600830834,0.03247171467774445,0.082252379240352
27,27,0.062667,0.6875069813458439,0.12499401598927665,0.18749900266487945,0.043084,0.007833,0.011750000000000002,0.09259698181702376
28,28,0.106184,0.40740601220522865,0.2962969938973856,0.2962969938973856,0.04326,0.031462,0.031462,0.11043636755827628
29,29,0.15020699999999998,0.38888693684513814,0.30555653157743096,0.30555653157743096,0.05841354012269766,0.04589672993865117,0.04589672993865117,0.1336218714871799
30,30,0.160657,0.26829207566430346,0.19512377300708966,0.5365841513286069,0.043103,0.031348,0.086206,0.1578366626598544
31,31,0.169873,0.4761876062246116,0.16666867564277194,0.35714371813261653,0.08089141723219344,0.028312507937464596,0.060669074830341965,0.18340023040621595
32,32,0.224739,0.17857207558107938,0.35714415116215875,0.46428377325676196,0.0401321096940162,0.0802642193880324,0.10434267091795142,0.21165629601812255
33,33,0.261064,0.35937555549410827,0.21874913589805375,0.42187530860783795,0.09382002001951388,0.05710752441408951,0.11013645556639662,0.24121958933722937
34,34,0.249571,0.14754105144673244,0.29508210289346487,0.5573768456598027,0.03682196775061246,0.07364393550122492,0.13910509674816263,0.2748939827897675
35,35,0.33599599999999996,0.14117727591995144,0.1764693627305087,0.6823533613495399,0.047435,0.05929299999999999,0.229268,0.3202788747907676
36,36,0.410098,0.12871232436449828,0.22772354294093422,0.6435641326945675,0.05278466679723202,0.09338896951299125,0.26392436368977673,0.3802786355204698
37,37,0.3860930000000001,0.1914893042496773,0.20212834900387217,0.6063823467464504,0.07393267994567067,0.07804034065195203,0.23411997940237733,0.46260941248244936
38,38,0.590786,0.08965439954613347,0.31034525024820825,0.6000003502056582,0.05296656409026201,0.18334762901313797,0.3544718068966,0.5791643653692031
39,39,0.692637,0.09248550668227504,0.26011594654179965,0.6473985467759253,0.06405888389189093,0.18016592886487248,0.44841218724323656,0.722934893100409
40,40,0.974831,0.09243690321948747,0.30252067739012956,0.605042419390383,0.0901103588023562,0.2949065344608974,0.5898141067367464,0.8826032683771967
41,41,1.0656809999999999,0.10943424109503333,0.2981133053190377,0.592452453585929,0.1166219914843962,0.31769368532569736,0.6313653231899063,1.045613034890122
42,42,1.2352710000000002,0.07817621941273442,0.30618853670471863,0.6156352438825469,0.09656881673018788,0.3782258199237746,0.7604763633460377,1.225027807651218
43,43,1.3110119999999998,0.10736193689990986,0.2515339478734321,0.6411041152266581,0.1407527876190246,0.3297640240694439,0.8404951883115314,1.4469642577018813
44,44,1.754648,0.07586204489491769,0.27126412309832987,0.6528738320067524,0.13311118535077754,0.47597305106623833,1.145563763582984,1.7321882329980185
45,45,2.130351,0.06769841950884638,0.2901353870877149,0.6421661934034387,0.1442213956990904,0.6180902120177005,1.3680393922832093,2.0649580049629095
46,46,2.4799839999999995,0.0707235305717874,0.307565777865424,0.6217106915627887,0.17539322424154358,0.7627582080538056,1.5418325677046507,2.4309089739729157
47,47,2.849533,0.07780969573217576,0.2694526054684266,0.6527376987993976,0.221721295708794,0.767814091218262,1.8599976130729439,2.839469881345643
48,48,3.198035,0.07858057116525018,0.30925207763285106,0.6121673512018987,0.25130341690646085,0.9889989680925748,1.957732615000964,3.3194806268129677
49,49,3.85505,0.055730753648387456,0.29442687188230626,0.6498423744693063,0.21484484185221606,1.1350303124498846,2.505174845697899,3.8974869582375904
50,50,4.621517,0.06170589770576877,0.29310351774361576,0.6451905845506155,0.2851748552474714,1.354582890011922,2.9817592547406067,4.563023455851133
51,51,5.293641999999999,0.05267304417490458,0.31603768674799126,0.6312892690771041,0.2788322389121302,1.6729903721520099,3.341819388935859,5.289003277341327
52,52,6.229916,0.06364255690841368,0.2863913426377835,0.6499661004538028,0.39648778356463693,1.7841940077606095,4.049234208674753,6.062352147611373
53,53,6.848229000000001,0.05006258385989503,0.31977477317198,0.630162642968125,0.34284003860426515,2.189890875104776,4.31549808629096,6.887468097791052
54,54,7.4775220000000004,0.0726321889180365,0.28936666581416653,0.6380011452677969,0.5431087905427742,2.163745609692078,4.770667599765148,7.8141530900403025
55,55,9.216325999999999,0.05817312537398476,0.30721151336046576,0.6346153612655496,0.5361424878855153,2.8313614580834074,5.848822054031077,8.868921684460783
56,56,9.989218999999999,0.06520751321699693,0.29913357523770884,0.6356589115452943,0.6513721299699767,2.98811079330245,6.349736076727572,10.004119930981792
57,57,10.957661,0.06896553337112855,0.31077051747655104,0.6202639491523203,0.7557009353650139,3.405317979302622,6.796642085332363,11.24624282532797
