,Distant Rate,Localized Rate,Regional Rate,Unknown/unstaged Rate,Age,LRD Rate,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU,LRDU Rate Smoothed
54,4.664954,0.531074,2.115799,0.165695,54,7.311827,13.459539600000001,0.0726321889180365,0.28936666581416653,0.6380011452677969,0.9775958229769934,3.894742097445741,8.587201679577266,14.065475562072546
55,5.749315,0.527021,2.783191,0.156799,55,9.059527,16.5893868,0.05817312537398476,0.30721151336046576,0.6346153612655496,0.9650564781939278,5.096450624550134,10.52787969725594,15.964059032029411
56,6.191628,0.635153,2.913707,0.248731,56,9.740488,17.9805942,0.06520751321699693,0.29913357523770884,0.6356589115452943,1.1724698339459583,5.378599427944411,11.429524938109632,18.00741587576723
57,6.630113,0.737185,3.321882,0.268481,57,10.68918,19.7237898,0.06896553337112855,0.31077051747655104,0.6202639491523203,1.360261683657025,6.129572362744719,12.233955753598254,20.243237085590348
58,7.783539,0.790991,3.753697,0.341671,58,12.328227,22.8058164,0.06416096978097499,0.30447987370771157,0.6313591565113135,1.463243296870864,6.943912097273258,14.39866100585588,22.719113209468212
59,8.484898,1.060004,4.249743,0.379268,59,13.794645,25.513043399999997,0.07684170197928254,0.3080719366101846,0.6150863614105329,1.9604656775273013,7.859852689057688,15.692725033415009,25.338498536256207
60,9.761491,1.036619,4.471688,0.401436,60,15.269798,28.2082212,0.06788688363788441,0.2928452622621465,0.6392678540999691,1.9149682302361042,8.260643935262642,18.032609034501256,28.0049838076869
61,10.218427,1.043339,5.195721,0.508562,61,16.457487,30.538888200000002,0.06339600936643608,0.31570561167692246,0.6208983789566415,1.9360436423677445,9.64129837911415,18.96154617851811,30.692739768194304
62,11.536792,1.172771,5.662029,0.458199,62,18.371592,33.8936238,0.06383611175340712,0.3081947933526937,0.6279690948938993,2.163637156624739,10.44583838301494,21.284148260360325,33.43548308112683
63,11.915091,1.407835,5.968991,0.543676,63,19.291916999999998,35.7040674,0.07297538134753535,0.3094037259231418,0.617620892729323,2.605517934173105,11.046971484170982,22.051577981655917,36.27021411257642
64,12.985377,1.437496,6.720292,0.610936,64,21.143165,39.157381799999996,0.06798868570528585,0.3178470205383158,0.6141642937563984,2.66225892424208,12.446057137211273,24.049065738546645,39.31340212825798
65,14.209546,1.619286,6.966694,0.721775,65,22.795526000000002,42.331141800000005,0.07103525490045721,0.30561672496611836,0.6233480201334244,3.0070034479903995,12.937104920992358,26.387033431017244,42.541340218194264
66,15.322025,1.711958,7.822331,0.671614,66,24.856314,45.95027040000001,0.06887417016054753,0.3147019706944481,0.6164238591450043,3.164786742452771,14.46064064882277,28.324843008724464,45.83029101213641
67,16.672415,2.0573,8.539866,0.738695,67,27.269581000000002,50.41489680000001,0.07544303669352309,0.3131645477061052,0.6113924156003717,3.8034529091825804,15.788158354021972,30.823285536795456,48.993886096037585
68,16.391363,2.242419,8.600764,0.810164,68,27.234545999999998,50.480478,0.08233730057405768,0.31580346520188,0.6018592342240623,4.156426290208106,15.94190987744727,30.382141832344622,51.96652347279542
69,18.364053,2.323302,9.193528,0.92012,69,29.880882999999997,55.4418054,0.07775211997583874,0.3076725677751893,0.614575312248972,4.310717905137904,17.057922629510358,34.07316486535174,54.99102805465884
70,18.774952,2.6579,10.074168,1.025998,70,31.507019999999997,58.5594324,0.08435897777701605,0.31974359999771484,0.5958974222252692,4.9400138564662734,18.724003729398824,34.89541481413491,58.0193394794569
71,19.306049,2.809999,10.512105,0.939488,71,32.628153,60.42175379999999,0.08612191440931395,0.3221789783810319,0.5916991072096542,5.203637109224239,19.466618911274228,35.75149777950153,61.06462287281238
72,20.624485,3.146259,10.401372,1.114114,72,34.172116,63.51521400000001,0.09207094462631463,0.30438185332157947,0.6035472020521059,5.847905751122524,19.332878551436732,38.33442969744075,64.28063478568387
73,21.568149,3.353188,11.592184,1.33756,73,36.513521,68.1319458,0.09183414549366521,0.31747647672762097,0.5906893777787138,6.256839023363712,21.63029010518123,40.24481667145505,67.62136004357349
74,22.808909,3.624127,12.026881,1.264931,74,38.459917,71.5047264,0.09423127460207469,0.3127120893162614,0.5930566360816639,6.737981508744618,22.360392388531633,42.40635250272374,70.81264301061759
75,23.105905,3.911714,12.292427,1.29676,75,39.310046,73.0922508,0.09950927048012104,0.31270446745343417,0.5877862620664448,7.273356554858044,22.856273361386847,42.96262088375511,73.72097131019565
76,23.439708,4.546833,13.25973,1.534276,76,41.246271,77.0049846,0.11023621989973349,0.32147706152636196,0.5682867185739046,8.48873841574119,24.755336172090754,43.760910012168054,76.40213248024152
77,23.955344,4.194836,13.102972,1.614305,77,41.253152,77.16142260000001,0.10168522395573554,0.31762353577249075,0.5806912402717737,7.846176537824155,24.50828387144738,44.80696219072847,78.82477502071461
78,24.751332,4.942777,14.291616,1.809855,78,43.985725,82.432044,0.11237229805806316,0.32491486726659613,0.5627128346753407,9.263078217903377,26.783396634774213,46.385569147322414,80.96607139929745
79,25.12072,5.388714,14.356598,1.929293,79,44.866032,84.231585,0.12010676584905036,0.3199881371278833,0.5599050970230663,10.116783256689382,26.953107971478957,47.16169377183166,82.47572372921562
80,23.860178,5.381353,13.040527,2.434422,80,42.282058000000006,80.489664,0.12727273114284077,0.3084175089112266,0.5643097599459326,10.24413936604959,24.824421663981635,45.42110296996877,83.42889121318613
81,24.906812,5.514647,14.316872,2.242219,81,44.738331,84.56499000000001,0.123264477613168,0.3200135472197208,0.5567219751671111,10.423859316712777,27.06194242050022,47.079188262787,84.29717523040127
82,24.573625,6.477908,14.864922,2.773915,82,45.916455,87.642666,0.1410803164137998,0.32373845062734047,0.5351812329588598,12.364655050628976,28.373300899689493,46.90471004968154,84.85694624488467
83,23.875513,5.951166,13.744361,2.267111,83,43.571039999999996,82.5086718,0.13658535577759906,0.31544716398782313,0.5479674802345779,11.269476292540155,26.027126523712077,45.21206898374777,84.95012840782596
84,23.857489,6.661507,13.942688,3.040281,84,44.461684000000005,85.50353700000001,0.14982579157370646,0.3135888420240673,0.5365853664022262,12.8106351133767,26.812955156791993,45.87994672983131,85.05930566914577
