,Distant Rate,Localized Rate,Regional Rate,Unknown/unstaged Rate,Age,LRD Rate,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU,LRDU Rate Smoothed
20,0.015638,0.066462,0.00391,0.011729,20,0.08600999999999999,0.17593019999999998,0.7727241018486223,0.04545983025229625,0.1818160678990815,0.13594550578304848,0.00799775702825253,0.03198693718869899,0.15912891121264308
21,0.003894,0.054513,0.007788,0.003894,21,0.06619499999999999,0.12616019999999997,0.823521414004079,0.11765239066394745,0.058826195331973724,0.10389562629503737,0.01484304913664174,0.00742152456832087,0.1417474362993012
22,0.015596,0.046787,0.0,0.003899,22,0.062383,0.11930760000000001,0.7499959924979562,0.0,0.2500040075020438,0.08948022187454917,0.0,0.029827378125450846,0.13045313970201936
23,0.003888,0.054429,0.019439,0.003888,23,0.077756,0.1469592,0.6999974278512269,0.25,0.05000257214877308,0.10287106199907403,0.0367398,0.007348338000925973,0.12608359367262725
24,0.015566,0.035022,0.011674,0.0,24,0.062262,0.1120716,0.5624939770646622,0.18749799235488743,0.25000803058045035,0.06303959999999999,0.0210132,0.028018799999999996,0.12666967126438272
25,0.019438,0.046651,0.003888,0.0,25,0.069977,0.1259586,0.6666619031967647,0.05556111293710791,0.2777769838661275,0.0839718,0.0069984,0.0349884,0.1343678751264786
26,0.031312,0.050881,0.023484,0.003914,26,0.105677,0.1972638,0.48147657484599304,0.22222432506600304,0.29629910008800403,0.094977898765105,0.04383681481495501,0.058449086419940004,0.1480542826326336
27,0.01175,0.043084,0.007833,0.0,27,0.062667,0.1128006,0.6875069813458439,0.12499401598927665,0.18749900266487945,0.0775512,0.0140994,0.021150000000000002,0.16667456727064278
28,0.031462,0.04326,0.031462,0.0,28,0.106184,0.1911312,0.40740601220522865,0.2962969938973856,0.2962969938973856,0.07786799999999999,0.05663159999999999,0.05663159999999999,0.1987854616048973
29,0.043481,0.055339,0.043481,0.007906,29,0.14230099999999998,0.27037259999999996,0.38888693684513814,0.30555653157743096,0.30555653157743096,0.10514437222085578,0.0826141138895721,0.0826141138895721,0.24051936867692383
30,0.086206,0.043103,0.031348,0.0,30,0.160657,0.2891826,0.26829207566430346,0.19512377300708966,0.5365841513286069,0.07758540000000001,0.05642640000000001,0.15517080000000003,0.28410599278773796
