"Year Dx (2000-2021 group only) for DevCan","Age recode with single ages and 85+","Combined Summary Stage (2004+)","Crude Rate","Count","Population"
2000-2021,14 years,Blank(s),0.000000,0,25194438
2000-2021,15 years,In situ,0.000000,0,25240116
2000-2021,15 years,Localized,0.043581,11,25240116
2000-2021,15 years,Regional,0.011886,3,25240116
2000-2021,15 years,Distant,0.007924,2,25240116
2000-2021,15 years,N/A,0.000000,0,25240116
2000-2021,15 years,Unknown/unstaged,0.000000,0,25240116
2000-2021,15 years,Blank(s),0.000000,0,25240116
2000-2021,16 years,In situ,0.000000,0,25385305
2000-2021,16 years,Localized,0.039393,10,25385305
2000-2021,16 years,Regional,0.007879,2,25385305
2000-2021,16 years,Distant,0.000000,0,25385305
2000-2021,16 years,N/A,0.000000,0,25385305
2000-2021,16 years,Unknown/unstaged,0.000000,0,25385305
2000-2021,16 years,Blank(s),0.000000,0,25385305
2000-2021,17 years,In situ,0.000000,0,25423468
2000-2021,17 years,Localized,0.039334,10,25423468
2000-2021,17 years,Regional,0.015733,4,25423468
2000-2021,17 years,Distant,0.003933,1,25423468
2000-2021,17 years,N/A,0.000000,0,25423468
2000-2021,17 years,Unknown/unstaged,0.000000,0,25423468
2000-2021,17 years,Blank(s),0.003933,1,25423468
2000-2021,18 years,In situ,0.000000,0,25615802
2000-2021,18 years,Localized,0.027327,7,25615802
2000-2021,18 years,Regional,0.011712,3,25615802
2000-2021,18 years,Distant,0.007808,2,25615802
2000-2021,18 years,N/A,0.000000,0,25615802
2000-2021,18 years,Unknown/unstaged,0.000000,0,25615802
2000-2021,18 years,Blank(s),0.000000,0,25615802
2000-2021,19 years,In situ,0.000000,0,25569249
2000-2021,19 years,Localized,0.031288,8,25569249
2000-2021,19 years,Regional,0.003911,1,25569249
2000-2021,19 years,Distant,0.007822,2,25569249
2000-2021,19 years,N/A,0.000000,0,25569249
2000-2021,19 years,Unknown/unstaged,0.003911,1,25569249
2000-2021,19 years,Blank(s),0.003911,1,25569249
2000-2021,20 years,In situ,0.000000,0,25578400
2000-2021,20 years,Localized,0.066462,17,25578400
2000-2021,20 years,Regional,0.003910,1,25578400
2000-2021,20 years,Distant,0.015638,4,25578400
2000-2021,20 years,N/A,0.000000,0,25578400
2000-2021,20 years,Unknown/unstaged,0.011729,3,25578400
2000-2021,20 years,Blank(s),0.003910,1,25578400
2000-2021,21 years,In situ,0.000000,0,25682104
2000-2021,21 years,Localized,0.054513,14,25682104
2000-2021,21 years,Regional,0.007788,2,25682104
2000-2021,21 years,Distant,0.003894,1,25682104
2000-2021,21 years,N/A,0.000000,0,25682104
2000-2021,21 years,Unknown/unstaged,0.003894,1,25682104
2000-2021,21 years,Blank(s),0.000000,0,25682104
2000-2021,22 years,In situ,0.000000,0,25647979
2000-2021,22 years,Localized,0.046787,12,25647979
2000-2021,22 years,Regional,0.000000,0,25647979
2000-2021,22 years,Distant,0.015596,4,25647979
2000-2021,22 years,N/A,0.000000,0,25647979
2000-2021,22 years,Unknown/unstaged,0.003899,1,25647979
2000-2021,22 years,Blank(s),0.000000,0,25647979
2000-2021,23 years,In situ,0.000000,0,25721458
2000-2021,23 years,Localized,0.054429,14,25721458
2000-2021,23 years,Regional,0.019439,5,25721458
2000-2021,23 years,Distant,0.003888,1,25721458
2000-2021,23 years,N/A,0.000000,0,25721458
2000-2021,23 years,Unknown/unstaged,0.003888,1,25721458
2000-2021,23 years,Blank(s),0.000000,0,25721458
2000-2021,24 years,In situ,0.000000,0,25697824
2000-2021,24 years,Localized,0.035022,9,25697824
2000-2021,24 years,Regional,0.011674,3,25697824
2000-2021,24 years,Distant,0.015566,4,25697824
2000-2021,24 years,N/A,0.000000,0,25697824
2000-2021,24 years,Unknown/unstaged,0.000000,0,25697824
2000-2021,24 years,Blank(s),0.011674,3,25697824
2000-2021,25 years,In situ,0.000000,0,25723029
2000-2021,25 years,Localized,0.046651,12,25723029
2000-2021,25 years,Regional,0.003888,1,25723029
2000-2021,25 years,Distant,0.019438,5,25723029
2000-2021,25 years,N/A,0.000000,0,25723029
2000-2021,25 years,Unknown/unstaged,0.000000,0,25723029
2000-2021,25 years,Blank(s),0.007775,2,25723029
2000-2021,26 years,In situ,0.000000,0,25549642
2000-2021,26 years,Localized,0.050881,13,25549642
2000-2021,26 years,Regional,0.023484,6,25549642
2000-2021,26 years,Distant,0.031312,8,25549642
2000-2021,26 years,N/A,0.000000,0,25549642
2000-2021,26 years,Unknown/unstaged,0.003914,1,25549642
2000-2021,26 years,Blank(s),0.000000,0,25549642
2000-2021,27 years,In situ,0.000000,0,25531565
2000-2021,27 years,Localized,0.043084,11,25531565
2000-2021,27 years,Regional,0.007833,2,25531565
2000-2021,27 years,Distant,0.011750,3,25531565
2000-2021,27 years,N/A,0.000000,0,25531565
2000-2021,27 years,Unknown/unstaged,0.000000,0,25531565
2000-2021,27 years,Blank(s),0.011750,3,25531565
2000-2021,28 years,In situ,0.000000,0,25427754
2000-2021,28 years,Localized,0.043260,11,25427754
2000-2021,28 years,Regional,0.031462,8,25427754
2000-2021,28 years,Distant,0.031462,8,25427754
2000-2021,28 years,N/A,0.000000,0,25427754
2000-2021,28 years,Unknown/unstaged,0.000000,0,25427754
2000-2021,28 years,Blank(s),0.015731,4,25427754
2000-2021,29 years,In situ,0.000000,0,25298620
2000-2021,29 years,Localized,0.055339,14,25298620
2000-2021,29 years,Regional,0.043481,11,25298620
2000-2021,29 years,Distant,0.043481,11,25298620
2000-2021,29 years,N/A,0.000000,0,25298620
2000-2021,29 years,Unknown/unstaged,0.007906,2,25298620
2000-2021,29 years,Blank(s),0.007906,2,25298620
2000-2021,30 years,In situ,0.000000,0,25520262
2000-2021,30 years,Localized,0.043103,11,25520262
2000-2021,30 years,Regional,0.031348,8,25520262
2000-2021,30 years,Distant,0.086206,22,25520262
2000-2021,30 years,N/A,0.000000,0,25520262
2000-2021,30 years,Unknown/unstaged,0.000000,0,25520262
2000-2021,30 years,Blank(s),0.019592,5,25520262
2000-2021,31 years,In situ,0.000000,0,25313154
2000-2021,31 years,Localized,0.079010,20,25313154
2000-2021,31 years,Regional,0.027654,7,25313154
2000-2021,31 years,Distant,0.059258,15,25313154
2000-2021,31 years,N/A,0.000000,0,25313154
2000-2021,31 years,Unknown/unstaged,0.003951,1,25313154
2000-2021,31 years,Blank(s),0.031604,8,25313154
2000-2021,32 years,In situ,0.000000,0,25362823
2000-2021,32 years,Localized,0.039428,10,25362823
2000-2021,32 years,Regional,0.078856,20,25362823
2000-2021,32 years,Distant,0.102512,26,25362823
2000-2021,32 years,N/A,0.000000,0,25362823
2000-2021,32 years,Unknown/unstaged,0.003943,1,25362823
2000-2021,32 years,Blank(s),0.023657,6,25362823
2000-2021,33 years,In situ,0.000000,0,25281214
2000-2021,33 years,Localized,0.090977,23,25281214
2000-2021,33 years,Regional,0.055377,14,25281214
2000-2021,33 years,Distant,0.106799,27,25281214
2000-2021,33 years,N/A,0.000000,0,25281214
2000-2021,33 years,Unknown/unstaged,0.007911,2,25281214
2000-2021,33 years,Blank(s),0.055377,14,25281214
2000-2021,34 years,In situ,0.000000,0,25243361
2000-2021,34 years,Localized,0.035653,9,25243361
2000-2021,34 years,Regional,0.071306,18,25243361
2000-2021,34 years,Distant,0.134689,34,25243361
2000-2021,34 years,N/A,0.000000,0,25243361
2000-2021,34 years,Unknown/unstaged,0.007923,2,25243361
2000-2021,34 years,Blank(s),0.055460,14,25243361
2000-2021,35 years,In situ,0.000000,0,25297916
2000-2021,35 years,Localized,0.047435,12,25297916
2000-2021,35 years,Regional,0.059293,15,25297916
2000-2021,35 years,Distant,0.229268,58,25297916
2000-2021,35 years,N/A,0.000000,0,25297916
2000-2021,35 years,Unknown/unstaged,0.000000,0,25297916
2000-2021,35 years,Blank(s),0.071152,18,25297916
2000-2021,36 years,In situ,0.000000,0,25359821
2000-2021,36 years,Localized,0.051262,13,25359821
2000-2021,36 years,Regional,0.090695,23,25359821
2000-2021,36 years,Distant,0.256311,65,25359821
2000-2021,36 years,N/A,0.000000,0,25359821
2000-2021,36 years,Unknown/unstaged,0.011830,3,25359821
2000-2021,36 years,Blank(s),0.078865,20,25359821
2000-2021,37 years,In situ,0.000000,0,25382518
2000-2021,37 years,Localized,0.070915,18,25382518
2000-2021,37 years,Regional,0.074855,19,25382518
2000-2021,37 years,Distant,0.224564,57,25382518
2000-2021,37 years,N/A,0.000000,0,25382518
2000-2021,37 years,Unknown/unstaged,0.015759,4,25382518
2000-2021,37 years,Blank(s),0.082734,21,25382518
2000-2021,38 years,In situ,0.000000,0,25389929
2000-2021,38 years,Localized,0.051201,13,25389929
2000-2021,38 years,Regional,0.177236,45,25389929
2000-2021,38 years,Distant,0.342656,87,25389929
2000-2021,38 years,N/A,0.000000,0,25389929
2000-2021,38 years,Unknown/unstaged,0.019693,5,25389929
2000-2021,38 years,Blank(s),0.181174,46,25389929
2000-2021,39 years,In situ,0.000000,0,25410128
2000-2021,39 years,Localized,0.062967,16,25410128
2000-2021,39 years,Regional,0.177095,45,25410128
2000-2021,39 years,Distant,0.440769,112,25410128
2000-2021,39 years,N/A,0.000000,0,25410128
2000-2021,39 years,Unknown/unstaged,0.011806,3,25410128
2000-2021,39 years,Blank(s),0.204643,52,25410128
2000-2021,40 years,In situ,0.000000,0,25337720
2000-2021,40 years,Localized,0.086827,22,25337720
2000-2021,40 years,Regional,0.284161,72,25337720
2000-2021,40 years,Distant,0.568323,144,25337720
2000-2021,40 years,N/A,0.000000,0,25337720
2000-2021,40 years,Unknown/unstaged,0.035520,9,25337720
2000-2021,40 years,Blank(s),0.213121,54,25337720
2000-2021,41 years,In situ,0.000000,0,25429763
2000-2021,41 years,Localized,0.114040,29,25429763
2000-2021,41 years,Regional,0.310660,79,25429763
2000-2021,41 years,Distant,0.617387,157,25429763
2000-2021,41 years,N/A,0.000000,0,25429763
2000-2021,41 years,Unknown/unstaged,0.023594,6,25429763
2000-2021,41 years,Blank(s),0.220214,56,25429763
2000-2021,42 years,In situ,0.000000,0,25419527
2000-2021,42 years,Localized,0.094416,24,25419527
2000-2021,42 years,Regional,0.369794,94,25419527
2000-2021,42 years,Distant,0.743523,189,25419527
2000-2021,42 years,N/A,0.000000,0,25419527
2000-2021,42 years,Unknown/unstaged,0.027538,7,25419527
2000-2021,42 years,Blank(s),0.251775,64,25419527
2000-2021,43 years,In situ,0.000000,0,25400221
2000-2021,43 years,Localized,0.137794,35,25400221
2000-2021,43 years,Regional,0.322832,82,25400221
2000-2021,43 years,Distant,0.822827,209,25400221
2000-2021,43 years,N/A,0.000000,0,25400221
2000-2021,43 years,Unknown/unstaged,0.027559,7,25400221
2000-2021,43 years,Blank(s),0.366139,93,25400221
2000-2021,44 years,In situ,0.000000,0,25304218
2000-2021,44 years,Localized,0.130413,33,25304218
2000-2021,44 years,Regional,0.466325,118,25304218
2000-2021,44 years,Distant,1.122343,284,25304218
2000-2021,44 years,N/A,0.000000,0,25304218
2000-2021,44 years,Unknown/unstaged,0.035567,9,25304218
2000-2021,44 years,Blank(s),0.300345,76,25304218
2000-2021,45 years,In situ,0.000000,0,25207117
2000-2021,45 years,Localized,0.138850,35,25207117
2000-2021,45 years,Regional,0.595070,150,25207117
2000-2021,45 years,Distant,1.317088,332,25207117
2000-2021,45 years,N/A,0.000000,0,25207117
2000-2021,45 years,Unknown/unstaged,0.079343,20,25207117
2000-2021,45 years,Blank(s),0.503826,127,25207117
2000-2021,46 years,In situ,0.000000,0,25242086
2000-2021,46 years,Localized,0.170350,43,25242086
2000-2021,46 years,Regional,0.740826,187,25242086
2000-2021,46 years,Distant,1.497499,378,25242086
2000-2021,46 years,N/A,0.000000,0,25242086
2000-2021,46 years,Unknown/unstaged,0.071309,18,25242086
2000-2021,46 years,Blank(s),0.471435,119,25242086
2000-2021,47 years,In situ,0.000000,0,25197107
2000-2021,47 years,Localized,0.214310,54,25197107
2000-2021,47 years,Regional,0.742149,187,25197107
2000-2021,47 years,Distant,1.797825,453,25197107
2000-2021,47 years,N/A,0.000000,0,25197107
2000-2021,47 years,Unknown/unstaged,0.095249,24,25197107
2000-2021,47 years,Blank(s),0.579432,146,25197107
2000-2021,48 years,In situ,0.000000,0,25109171
2000-2021,48 years,Localized,0.246922,62,25109171
2000-2021,48 years,Regional,0.971756,244,25109171
2000-2021,48 years,Distant,1.923600,483,25109171
2000-2021,48 years,N/A,0.000000,0,25109171
2000-2021,48 years,Unknown/unstaged,0.055757,14,25109171
2000-2021,48 years,Blank(s),0.685009,172,25109171
2000-2021,49 years,In situ,0.000000,0,25083981
2000-2021,49 years,Localized,0.211290,53,25083981
2000-2021,49 years,Regional,1.116250,280,25083981
2000-2021,49 years,Distant,2.463724,618,25083981
2000-2021,49 years,N/A,0.000000,0,25083981
2000-2021,49 years,Unknown/unstaged,0.063786,16,25083981
2000-2021,49 years,Blank(s),0.761442,191,25083981
2000-2021,50 years,In situ,0.000000,0,24667229
2000-2021,50 years,Localized,0.275669,68,24667229
2000-2021,50 years,Regional,1.309430,323,24667229
2000-2021,50 years,Distant,2.882367,711,24667229
2000-2021,50 years,N/A,0.000000,0,24667229
2000-2021,50 years,Unknown/unstaged,0.154051,38,24667229
2000-2021,50 years,Blank(s),0.851332,210,24667229
2000-2021,51 years,In situ,0.000000,0,24519984
2000-2021,51 years,Localized,0.273247,67,24519984
2000-2021,51 years,Regional,1.639479,402,24519984
2000-2021,51 years,Distant,3.274880,803,24519984
2000-2021,51 years,N/A,0.000000,0,24519984
2000-2021,51 years,Unknown/unstaged,0.106036,26,24519984
2000-2021,51 years,Blank(s),0.925775,227,24519984
2000-2021,52 years,In situ,0.000000,0,24141576
2000-2021,52 years,Localized,0.389370,94,24141576
2000-2021,52 years,Regional,1.752164,423,24141576
2000-2021,52 years,Distant,3.976542,960,24141576
2000-2021,52 years,N/A,0.000000,0,24141576
2000-2021,52 years,Unknown/unstaged,0.111840,27,24141576
2000-2021,52 years,Blank(s),1.114260,269,24141576
2000-2021,53 years,In situ,0.000000,0,23991607
2000-2021,53 years,Localized,0.333450,80,23991607
2000-2021,53 years,Regional,2.129912,511,23991607
2000-2021,53 years,Distant,4.197301,1007,23991607
2000-2021,53 years,N/A,0.000000,0,23991607
2000-2021,53 years,Unknown/unstaged,0.187566,45,23991607
2000-2021,53 years,Blank(s),1.146234,275,23991607
2000-2021,54 years,In situ,0.000000,0,23537212
2000-2021,54 years,Localized,0.531074,125,23537212
2000-2021,54 years,Regional,2.115799,498,23537212
2000-2021,54 years,Distant,4.664954,1098,23537212
2000-2021,54 years,N/A,0.000000,0,23537212
2000-2021,54 years,Unknown/unstaged,0.165695,39,23537212
2000-2021,54 years,Blank(s),1.351052,318,23537212
2000-2021,55 years,In situ,0.000000,0,22959257
2000-2021,55 years,Localized,0.527021,121,22959257
2000-2021,55 years,Regional,2.783191,639,22959257
2000-2021,55 years,Distant,5.749315,1320,22959257
2000-2021,55 years,N/A,0.000000,0,22959257
2000-2021,55 years,Unknown/unstaged,0.156799,36,22959257
2000-2021,55 years,Blank(s),1.459106,335,22959257
2000-2021,56 years,In situ,0.000000,0,22514271
2000-2021,56 years,Localized,0.635153,143,22514271
2000-2021,56 years,Regional,2.913707,656,22514271
2000-2021,56 years,Distant,6.191628,1394,22514271
2000-2021,56 years,N/A,0.000000,0,22514271
2000-2021,56 years,Unknown/unstaged,0.248731,56,22514271
2000-2021,56 years,Blank(s),1.519037,342,22514271
2000-2021,57 years,In situ,0.000000,0,21975493
2000-2021,57 years,Localized,0.737185,162,21975493
2000-2021,57 years,Regional,3.321882,730,21975493
2000-2021,57 years,Distant,6.630113,1457,21975493
2000-2021,57 years,N/A,0.000000,0,21975493
2000-2021,57 years,Unknown/unstaged,0.268481,59,21975493
2000-2021,57 years,Blank(s),1.488021,327,21975493
2000-2021,58 years,In situ,0.000000,0,21365602
2000-2021,58 years,Localized,0.790991,169,21365602
2000-2021,58 years,Regional,3.753697,802,21365602
2000-2021,58 years,Distant,7.783539,1663,21365602
2000-2021,58 years,N/A,0.000000,0,21365602
2000-2021,58 years,Unknown/unstaged,0.341671,73,21365602
2000-2021,58 years,Blank(s),1.708353,365,21365602
2000-2021,59 years,In situ,0.000000,0,20565951
2000-2021,59 years,Localized,1.060004,218,20565951
2000-2021,59 years,Regional,4.249743,874,20565951
2000-2021,59 years,Distant,8.484898,1745,20565951
2000-2021,59 years,N/A,0.000000,0,20565951
2000-2021,59 years,Unknown/unstaged,0.379268,78,20565951
2000-2021,59 years,Blank(s),1.891476,389,20565951
2000-2021,60 years,In situ,0.000000,0,19679370
2000-2021,60 years,Localized,1.036619,204,19679370
2000-2021,60 years,Regional,4.471688,880,19679370
2000-2021,60 years,Distant,9.761491,1921,19679370
2000-2021,60 years,N/A,0.000000,0,19679370
2000-2021,60 years,Unknown/unstaged,0.401436,79,19679370
2000-2021,60 years,Blank(s),2.002097,394,19679370
2000-2021,61 years,In situ,0.000000,0,19073386
2000-2021,61 years,Localized,1.043339,199,19073386
2000-2021,61 years,Regional,5.195721,991,19073386
2000-2021,61 years,Distant,10.218427,1949,19073386
2000-2021,61 years,N/A,0.000000,0,19073386
2000-2021,61 years,Unknown/unstaged,0.508562,97,19073386
2000-2021,61 years,Blank(s),2.228236,425,19073386
2000-2021,62 years,In situ,0.000000,0,18332652
2000-2021,62 years,Localized,1.172771,215,18332652
2000-2021,62 years,Regional,5.662029,1038,18332652
2000-2021,62 years,Distant,11.536792,2115,18332652
2000-2021,62 years,N/A,0.000000,0,18332652
2000-2021,62 years,Unknown/unstaged,0.458199,84,18332652
2000-2021,62 years,Blank(s),2.285539,419,18332652
2000-2021,63 years,In situ,0.000000,0,17473639
2000-2021,63 years,Localized,1.407835,246,17473639
2000-2021,63 years,Regional,5.968991,1043,17473639
2000-2021,63 years,Distant,11.915091,2082,17473639
2000-2021,63 years,N/A,0.000000,0,17473639
2000-2021,63 years,Unknown/unstaged,0.543676,95,17473639
2000-2021,63 years,Blank(s),2.603922,455,17473639
2000-2021,64 years,In situ,0.000000,0,16695703
2000-2021,64 years,Localized,1.437496,240,16695703
2000-2021,64 years,Regional,6.720292,1122,16695703
2000-2021,64 years,Distant,12.985377,2168,16695703
2000-2021,64 years,N/A,0.000000,0,16695703
2000-2021,64 years,Unknown/unstaged,0.610936,102,16695703
2000-2021,64 years,Blank(s),2.611450,436,16695703
2000-2021,65 years,In situ,0.000000,0,15932951
2000-2021,65 years,Localized,1.619286,258,15932951
2000-2021,65 years,Regional,6.966694,1110,15932951
2000-2021,65 years,Distant,14.209546,2264,15932951
2000-2021,65 years,N/A,0.000000,0,15932951
2000-2021,65 years,Unknown/unstaged,0.721775,115,15932951
2000-2021,65 years,Blank(s),3.169532,505,15932951
2000-2021,66 years,In situ,0.000000,0,15187288
2000-2021,66 years,Localized,1.711958,260,15187288
2000-2021,66 years,Regional,7.822331,1188,15187288
2000-2021,66 years,Distant,15.322025,2327,15187288
2000-2021,66 years,N/A,0.000000,0,15187288
2000-2021,66 years,Unknown/unstaged,0.671614,102,15187288
2000-2021,66 years,Blank(s),3.279058,498,15187288
2000-2021,67 years,In situ,0.000000,0,14485004
2000-2021,67 years,Localized,2.057300,298,14485004
2000-2021,67 years,Regional,8.539866,1237,14485004
2000-2021,67 years,Distant,16.672415,2415,14485004
2000-2021,67 years,N/A,0.000000,0,14485004
2000-2021,67 years,Unknown/unstaged,0.738695,107,14485004
2000-2021,67 years,Blank(s),3.748705,543,14485004
2000-2021,68 years,In situ,0.000000,0,13824354
2000-2021,68 years,Localized,2.242419,310,13824354
2000-2021,68 years,Regional,8.600764,1189,13824354
2000-2021,68 years,Distant,16.391363,2266,13824354
2000-2021,68 years,N/A,0.000000,0,13824354
2000-2021,68 years,Unknown/unstaged,0.810164,112,13824354
2000-2021,68 years,Blank(s),4.195494,580,13824354
2000-2021,69 years,In situ,0.000000,0,13041783
2000-2021,69 years,Localized,2.323302,303,13041783
2000-2021,69 years,Regional,9.193528,1199,13041783
2000-2021,69 years,Distant,18.364053,2395,13041783
2000-2021,69 years,N/A,0.000000,0,13041783
2000-2021,69 years,Unknown/unstaged,0.920120,120,13041783
2000-2021,69 years,Blank(s),4.347565,567,13041783
2000-2021,70 years,In situ,0.000000,0,12378194
2000-2021,70 years,Localized,2.657900,329,12378194
2000-2021,70 years,Regional,10.074168,1247,12378194
2000-2021,70 years,Distant,18.774952,2324,12378194
2000-2021,70 years,N/A,0.000000,0,12378194
2000-2021,70 years,Unknown/unstaged,1.025998,127,12378194
2000-2021,70 years,Blank(s),4.798761,594,12378194
2000-2021,71 years,In situ,0.000000,0,11814950
2000-2021,71 years,Localized,2.809999,332,11814950
2000-2021,71 years,Regional,10.512105,1242,11814950
2000-2021,71 years,Distant,19.306049,2281,11814950
2000-2021,71 years,N/A,0.000000,0,11814950
2000-2021,71 years,Unknown/unstaged,0.939488,111,11814950
2000-2021,71 years,Blank(s),5.188342,613,11814950
2000-2021,72 years,In situ,0.000000,0,11219674
2000-2021,72 years,Localized,3.146259,353,11219674
2000-2021,72 years,Regional,10.401372,1167,11219674
2000-2021,72 years,Distant,20.624485,2314,11219674
2000-2021,72 years,N/A,0.000000,0,11219674
2000-2021,72 years,Unknown/unstaged,1.114114,125,11219674
2000-2021,72 years,Blank(s),5.588398,627,11219674
2000-2021,73 years,In situ,0.000000,0,10765875
2000-2021,73 years,Localized,3.353188,361,10765875
2000-2021,73 years,Regional,11.592184,1248,10765875
2000-2021,73 years,Distant,21.568149,2322,10765875
2000-2021,73 years,N/A,0.000000,0,10765875
2000-2021,73 years,Unknown/unstaged,1.337560,144,10765875
2000-2021,73 years,Blank(s),5.981864,644,10765875
2000-2021,74 years,In situ,0.000000,0,9961020
2000-2021,74 years,Localized,3.624127,361,9961020
2000-2021,74 years,Regional,12.026881,1198,9961020
2000-2021,74 years,Distant,22.808909,2272,9961020
2000-2021,74 years,N/A,0.000000,0,9961020
2000-2021,74 years,Unknown/unstaged,1.264931,126,9961020
2000-2021,74 years,Blank(s),6.354771,633,9961020
2000-2021,75 years,In situ,0.000000,0,9330948
2000-2021,75 years,Localized,3.911714,365,9330948
2000-2021,75 years,Regional,12.292427,1147,9330948
2000-2021,75 years,Distant,23.105905,2156,9330948
