"Year Dx (2000-2021 group only) for DevCan","Age recode with single ages and 85+","Combined Summary Stage (2004+)","Crude Rate","Count","Population"
2000-2021,75 years,N/A,0.000000,0,9330948
2000-2021,75 years,Unknown/unstaged,1.296760,121,9330948
2000-2021,75 years,Blank(s),6.794594,634,9330948
2000-2021,76 years,In situ,0.000000,0,8929292
2000-2021,76 years,Localized,4.546833,406,8929292
2000-2021,76 years,Regional,13.259730,1184,8929292
2000-2021,76 years,Distant,23.439708,2093,8929292
2000-2021,76 years,N/A,0.000000,0,8929292
2000-2021,76 years,Unknown/unstaged,1.534276,137,8929292
2000-2021,76 years,Blank(s),7.257014,648,8929292
2000-2021,77 years,In situ,0.000000,0,8486624
2000-2021,77 years,Localized,4.194836,356,8486624
2000-2021,77 years,Regional,13.102972,1112,8486624
2000-2021,77 years,Distant,23.955344,2033,8486624
2000-2021,77 years,N/A,0.000000,0,8486624
2000-2021,77 years,Unknown/unstaged,1.614305,137,8486624
2000-2021,77 years,Blank(s),7.258481,616,8486624
2000-2021,78 years,In situ,0.000000,0,8011690
2000-2021,78 years,Localized,4.942777,396,8011690
2000-2021,78 years,Regional,14.291616,1145,8011690
2000-2021,78 years,Distant,24.751332,1983,8011690
2000-2021,78 years,N/A,0.000000,0,8011690
2000-2021,78 years,Unknown/unstaged,1.809855,145,8011690
2000-2021,78 years,Blank(s),7.851028,629,8011690
2000-2021,79 years,In situ,0.000000,0,7515708
2000-2021,79 years,Localized,5.388714,405,7515708
2000-2021,79 years,Regional,14.356598,1079,7515708
2000-2021,79 years,Distant,25.120720,1888,7515708
2000-2021,79 years,N/A,0.000000,0,7515708
2000-2021,79 years,Unknown/unstaged,1.929293,145,7515708
2000-2021,79 years,Blank(s),7.357923,553,7515708
2000-2021,80 years,In situ,0.000000,0,7024256
2000-2021,80 years,Localized,5.381353,378,7024256
2000-2021,80 years,Regional,13.040527,916,7024256
2000-2021,80 years,Distant,23.860178,1676,7024256
2000-2021,80 years,N/A,0.000000,0,7024256
2000-2021,80 years,Unknown/unstaged,2.434422,171,7024256
2000-2021,80 years,Blank(s),7.274792,511,7024256
2000-2021,81 years,In situ,0.000000,0,6600604
2000-2021,81 years,Localized,5.514647,364,6600604
2000-2021,81 years,Regional,14.316872,945,6600604
2000-2021,81 years,Distant,24.906812,1644,6600604
2000-2021,81 years,N/A,0.000000,0,6600604
2000-2021,81 years,Unknown/unstaged,2.242219,148,6600604
2000-2021,81 years,Blank(s),7.120560,470,6600604
2000-2021,82 years,In situ,0.000000,0,6128522
2000-2021,82 years,Localized,6.477908,397,6128522
2000-2021,82 years,Regional,14.864922,911,6128522
2000-2021,82 years,Distant,24.573625,1506,6128522
2000-2021,82 years,N/A,0.000000,0,6128522
2000-2021,82 years,Unknown/unstaged,2.773915,170,6128522
2000-2021,82 years,Blank(s),7.505888,460,6128522
2000-2021,83 years,In situ,0.000000,0,5645952
2000-2021,83 years,Localized,5.951166,336,5645952
2000-2021,83 years,Regional,13.744361,776,5645952
2000-2021,83 years,Distant,23.875513,1348,5645952
2000-2021,83 years,N/A,0.000000,0,5645952
2000-2021,83 years,Unknown/unstaged,2.267111,128,5645952
2000-2021,83 years,Blank(s),6.252267,353,5645952
2000-2021,84 years,In situ,0.000000,0,5163997
2000-2021,84 years,Localized,6.661507,344,5163997
2000-2021,84 years,Regional,13.942688,720,5163997
2000-2021,84 years,Distant,23.857489,1232,5163997
2000-2021,84 years,N/A,0.000000,0,5163997
2000-2021,84 years,Unknown/unstaged,3.040281,157,5163997
2000-2021,84 years,Blank(s),6.525953,337,5163997
2000-2021,85+ years,In situ,0.000000,0,29772218
2000-2021,85+ years,Localized,6.885614,2050,29772218
2000-2021,85+ years,Regional,9.972384,2969,29772218
2000-2021,85+ years,Distant,16.871434,5023,29772218
2000-2021,85+ years,N/A,0.000000,0,29772218
2000-2021,85+ years,Unknown/unstaged,3.180818,947,29772218
2000-2021,85+ years,Blank(s),4.148163,1235,29772218
2000-2021,Unknown,In situ,~,0,0
2000-2021,Unknown,Localized,~,0,0
2000-2021,Unknown,Regional,~,0,0
2000-2021,Unknown,Distant,~,0,0
2000-2021,Unknown,N/A,~,0,0
2000-2021,Unknown,Unknown/unstaged,~,0,0
2000-2021,Unknown,Blank(s),~,0,0
